Assignment Name,Points Possible,Due Date,Available From,Available To,Description
Lesson Plans Week of August 12,100,08/09/2019 12 AM,08/04/2019 12 AM,08/11/2019 12 AM,"Please submit a digital copy of your lesson plans. If you have multiple files, you can submit them all at once using the Add Another File link."
Lesson Plans Week of August 19,100,08/16/2019 12 AM,08/11/2019 12 AM,08/18/2019 12 AM,"Please submit a digital copy of your lesson plans. If you have multiple files, you can submit them all at once using the Add Another File link."
Lesson Plans Week of August 26,100,08/23/2019 12 AM,08/18/2019 12 AM,08/25/2019 12 AM,"Please submit a digital copy of your lesson plans. If you have multiple files, you can submit them all at once using the Add Another File link."
Lesson Plans Week of August 33,100,08/30/2019 12 AM,08/25/2019 12 AM,09/01/2019 12 AM,"Please submit a digital copy of your lesson plans. If you have multiple files, you can submit them all at once using the Add Another File link."
Lesson Plans Week of September 9,100,09/06/2019 12 AM,09/01/2019 12 AM,09/08/2019 12 AM,"Please submit a digital copy of your lesson plans. If you have multiple files, you can submit them all at once using the Add Another File link."
Lesson Plans Week of September 16,100,09/13/2019 12 AM,09/08/2019 12 AM,09/15/2019 12 AM,"Please submit a digital copy of your lesson plans. If you have multiple files, you can submit them all at once using the Add Another File link."
Lesson Plans Week of September 23,100,09/20/2019 12 AM,09/15/2019 12 AM,09/22/2019 12 AM,"Please submit a digital copy of your lesson plans. If you have multiple files, you can submit them all at once using the Add Another File link."
Lesson Plans Week of September 30,100,09/27/2019 12 AM,09/22/2019 12 AM,09/29/2019 12 AM,"Please submit a digital copy of your lesson plans. If you have multiple files, you can submit them all at once using the Add Another File link."
Lesson Plans Week of October 7,100,10/04/2019 12 AM,09/29/2019 12 AM,10/06/2019 12 AM,"Please submit a digital copy of your lesson plans. If you have multiple files, you can submit them all at once using the Add Another File link."
Lesson Plans Week of October 14,100,10/11/2019 12 AM,10/06/2019 12 AM,10/13/2019 12 AM,"Please submit a digital copy of your lesson plans. If you have multiple files, you can submit them all at once using the Add Another File link."
Lesson Plans Week of October 21,100,10/18/2019 12 AM,10/13/2019 12 AM,10/20/2019 12 AM,"Please submit a digital copy of your lesson plans. If you have multiple files, you can submit them all at once using the Add Another File link."
